ticker,date,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_sg_and_a_expense,is_operating_expenses_r_and_d,is_other_operating_expenses,is_oper_income,is_nonop_income_loss,is_net_interest_expense,is_int_expense,is_int_income,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_xo_gl_net_of_tax,is_extraord_items_and_acctg_chng,is_ni_including_minority_int_ratio,is_min_noncontrol_interest_credits,is_net_income,is_earn_for_common,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,is_depr_exp,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,div_per_shr,company,is_tot_cash_pfd_dvd,is_discontinued_operations
GT,2020-12-31,annual,2020,2020,USD,12321000000.0,12321000000.0,10337000000.0,10337000000.0,1984000000.0,2192000000.0,2192000000.0,,,-208000000.0,932000000.0,310000000.0,324000000.0,14000000.0,622000000.0,-1140000000.0,110000000.0,-1250000000.0,8000000.0,8000000.0,-1258000000.0,-4000000.0,-1254000000.0,-1254000000.0,651000000.0,5.283662040418797,-208000000.0,-208000000.0,16.102589075562047,-1.688174661147634,-10.177745312880448,859000000.0,234000000.0,-5.358974358974359,-5.3418803418803416,234000000.0,-5.358974358974359,-5.3418803418803416,0.1581196581196581,Goodyear,,
GT,2019-12-31,annual,2019,2019,USD,14745000000.0,14745000000.0,11602000000.0,11602000000.0,3143000000.0,2323000000.0,2323000000.0,,,820000000.0,643000000.0,314000000.0,340000000.0,26000000.0,329000000.0,177000000.0,474000000.0,-297000000.0,28000000.0,28000000.0,-325000000.0,-14000000.0,-311000000.0,-311000000.0,1615000000.0,10.95286537809427,820000000.0,820000000.0,21.3157002373686,5.561207188877586,-2.109189555781621,795000000.0,233000000.0,-1.3347639484978542,-1.2746781115879828,233000000.0,-1.3347639484978542,-1.2746781115879828,0.6351931330472103,Goodyear,,
GT,2018-12-31,annual,2018,2018,USD,15475000000.0,15475000000.0,11961000000.0,11961000000.0,3514000000.0,2312000000.0,2312000000.0,,,1202000000.0,191000000.0,267000000.0,321000000.0,54000000.0,-76000000.0,1011000000.0,303000000.0,708000000.0,30000000.0,30000000.0,678000000.0,-15000000.0,693000000.0,693000000.0,1980000000.0,12.794830371567043,1202000000.0,1202000000.0,22.707592891760903,7.767366720516963,4.4781906300484655,778000000.0,237000000.0,2.9240506329113924,2.9873417721518987,239000000.0,2.899581589958159,2.9623430962343096,0.5822784810126582,Goodyear,,
GT,2017-12-31,annual,2017,2017,USD,15377000000.0,15377000000.0,11680000000.0,11680000000.0,3697000000.0,2279000000.0,2279000000.0,,,1418000000.0,540000000.0,322000000.0,335000000.0,13000000.0,218000000.0,878000000.0,513000000.0,365000000.0,38000000.0,38000000.0,327000000.0,-19000000.0,346000000.0,346000000.0,2199000000.0,14.300578786499319,1418000000.0,1418000000.0,24.0424009884893,9.221564674513884,2.2501138063341353,781000000.0,249000000.0,1.3895582329317269,1.465863453815261,253000000.0,1.3675889328063242,1.4426877470355732,0.44176706827309237,Goodyear,,
GT,2016-12-31,annual,2016,2016,USD,15158000000.0,15158000000.0,10935000000.0,10935000000.0,4223000000.0,2409000000.0,2409000000.0,,,1814000000.0,607000000.0,357000000.0,372000000.0,15000000.0,250000000.0,1207000000.0,-77000000.0,1284000000.0,40000000.0,40000000.0,1244000000.0,-20000000.0,1264000000.0,1264000000.0,2541000000.0,16.76342525399129,1814000000.0,1814000000.0,27.859875973083522,11.967278005013855,8.338830980340415,727000000.0,263000000.0,4.806083650190114,4.88212927756654,266000000.0,4.7518796992481205,4.827067669172933,0.311787072243346,Goodyear,,
GT,2015-12-31,annual,2015,2015,USD,16443000000.0,16443000000.0,12164000000.0,12164000000.0,4279000000.0,2614000000.0,2614000000.0,,,1665000000.0,1057000000.0,416000000.0,438000000.0,22000000.0,641000000.0,608000000.0,232000000.0,376000000.0,138000000.0,138000000.0,238000000.0,-69000000.0,307000000.0,307000000.0,2363000000.0,14.370856899592532,1665000000.0,1665000000.0,26.02323177035821,10.125889436234264,1.8670558900443959,698000000.0,269000000.0,1.141263940520446,1.3977695167286246,273000000.0,1.1245421245421245,1.3772893772893773,0.2527881040892193,Goodyear,,
GT,2014-12-31,annual,2014,2014,USD,18138000000.0,18138000000.0,13906000000.0,13906000000.0,4232000000.0,2720000000.0,2720000000.0,,,1512000000.0,825000000.0,416000000.0,444000000.0,28000000.0,409000000.0,687000000.0,-1834000000.0,2521000000.0,138000000.0,138000000.0,2383000000.0,-69000000.0,2452000000.0,2445000000.0,2244000000.0,12.371816076744956,1512000000.0,1512000000.0,23.33223067592899,8.336089976844194,13.518579777263204,732000000.0,268000000.0,9.123134328358208,9.406716417910447,279000000.0,8.763440860215054,9.03584229390681,0.2798507462686567,Goodyear,7000000.0,
GT,2013-12-31,annual,2013,2013,USD,19540000000.0,19540000000.0,15422000000.0,15422000000.0,4118000000.0,2758000000.0,2758000000.0,,,1360000000.0,547000000.0,351000000.0,392000000.0,41000000.0,196000000.0,813000000.0,138000000.0,675000000.0,92000000.0,92000000.0,583000000.0,-46000000.0,629000000.0,600000000.0,2082000000.0,10.655066530194473,1360000000.0,1360000000.0,21.074718526100305,6.960081883316274,3.219037871033777,722000000.0,246000000.0,2.4390243902439024,2.7439024390243905,277000000.0,2.1660649819494586,2.436823104693141,0.16666666666666666,Goodyear,29000000.0,
GT,2012-12-31,annual,2012,2012,USD,20992000000.0,20992000000.0,17163000000.0,17163000000.0,3829000000.0,2718000000.0,2718000000.0,,,1111000000.0,671000000.0,340000000.0,357000000.0,17000000.0,331000000.0,440000000.0,203000000.0,237000000.0,50000000.0,50000000.0,187000000.0,-25000000.0,212000000.0,183000000.0,1798000000.0,8.565167682926829,1111000000.0,1111000000.0,18.240282012195124,5.292492378048781,1.009908536585366,687000000.0,245000000.0,0.746938775510204,0.9673469387755103,247000000.0,0.7408906882591093,0.9595141700404858,0.11836734693877551,Goodyear,29000000.0,
GT,2011-12-31,annual,2011,2011,USD,22767000000.0,22767000000.0,18821000000.0,18821000000.0,3946000000.0,2822000000.0,2822000000.0,,,1124000000.0,506000000.0,314000000.0,330000000.0,16000000.0,192000000.0,618000000.0,201000000.0,417000000.0,148000000.0,148000000.0,269000000.0,-74000000.0,343000000.0,321000000.0,1839000000.0,8.077480563974174,1124000000.0,1124000000.0,17.33210348311152,4.936970176132121,1.5065665217200332,715000000.0,244000000.0,1.3155737704918034,1.709016393442623,271000000.0,1.1845018450184501,1.5387453874538746,0.06147540983606557,Goodyear,22000000.0,
